ap_lift,auroc,average_precision,error_fraction_threshold,family,minimum_support,n,positives,prevalence,scene,score
-0.0783068783068783,0.04761904761904763,0.2216931216931217,0.3,association,10,10,3,0.3,room0,num_detections
-0.01746031746031748,0.1875,0.18253968253968253,0.4,association,10,10,2,0.2,room0,num_detections
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.1,mask,10,20,19,0.95,room0,voxel_second_region_residual
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.2,mask,10,20,19,0.95,room0,voxel_second_region_residual
-0.010407350375983393,0.2631578947368421,0.9395926496240166,0.3,mask,10,20,19,0.95,room0,voxel_second_region_residual
0.020972865761307524,0.4722222222222222,0.9209728657613075,0.4,mask,10,20,18,0.9,room0,voxel_second_region_residual
-0.02970559599001854,0.15789473684210525,0.9202944040099814,0.1,mask,10,20,19,0.95,room0,voxel_owner_entropy_residual
-0.02970559599001854,0.15789473684210525,0.9202944040099814,0.2,mask,10,20,19,0.95,room0,voxel_owner_entropy_residual
-0.02970559599001854,0.15789473684210525,0.9202944040099814,0.3,mask,10,20,19,0.95,room0,voxel_owner_entropy_residual
0.0006024953909370412,0.41666666666666663,0.9006024953909371,0.4,mask,10,20,18,0.9,room0,voxel_owner_entropy_residual
0.0195861940912454,0.5263157894736842,0.9695861940912454,0.1,mask,10,20,19,0.95,room0,framebalanced_disagreement_residual
0.0195861940912454,0.5263157894736842,0.9695861940912454,0.2,mask,10,20,19,0.95,room0,framebalanced_disagreement_residual
0.0195861940912454,0.5263157894736842,0.9695861940912454,0.3,mask,10,20,19,0.95,room0,framebalanced_disagreement_residual
0.00918372897217068,0.3888888888888889,0.9091837289721707,0.4,mask,10,20,18,0.9,room0,framebalanced_disagreement_residual
0.04167436134195124,0.8421052631578947,0.9916743613419512,0.1,mask,10,20,19,0.95,room0,nonspatial_label_entropy_residual
0.04167436134195124,0.8421052631578947,0.9916743613419512,0.2,mask,10,20,19,0.95,room0,nonspatial_label_entropy_residual
0.04167436134195124,0.8421052631578947,0.9916743613419512,0.3,mask,10,20,19,0.95,room0,nonspatial_label_entropy_residual
