accepted_3d,elapsed_seconds,filtered_2d,processed_frame,raw_detections,raw_frame
1,0.16262581571936607,1,137,13,685
1,0.10679698083549738,1,138,12,690
1,0.1303549874573946,1,139,12,695
2,0.22094508819282055,2,140,10,700
2,0.20457150880247355,2,141,12,705
2,0.15746301133185625,2,142,6,710
2,0.2212962545454502,2,143,6,715
3,0.1965219173580408,3,144,5,720
3,0.19299740344285965,3,145,7,725
4,0.28757617250084877,4,146,9,730
3,0.18862652778625488,3,147,10,735
5,0.3745183376595378,5,148,10,740
4,0.20651088748127222,4,149,7,745
5,0.35647382866591215,5,150,13,750
8,0.39542046654969454,8,151,12,755
11,0.4384554009884596,11,152,19,760
13,0.5860327556729317,13,153,21,765
13,0.5243375524878502,13,154,24,770
12,0.5524264536798,12,155,24,775
14,0.6592356814071536,14,156,26,780
16,1.139933886937797,16,157,28,785
18,1.1295282701030374,18,158,28,790
15,1.001097404398024,15,159,25,795
16,1.0286705950275064,16,160,24,800
17,1.0610850062221289,17,161,29,805
15,0.8188097216188908,15,162,26,810
14,0.712933698669076,14,163,28,815
13,0.5659434171393514,13,164,24,820
14,0.6256501069292426,14,165,26,825
