both_positive_ap_lift,mean_auroc,min_auroc,office0_auroc,room0_auroc,score,target
True,0.6488095238095238,0.5833333333333334,0.5833333333333334,0.7142857142857143,owner_overlap_mean,geometry_overmerge_2cm
True,0.6488095238095238,0.5833333333333334,0.5833333333333334,0.7142857142857143,owner_overlap_mean,geometry_overmerge_5cm
True,0.6488095238095238,0.5833333333333334,0.5833333333333334,0.7142857142857143,owner_overlap_mean,geometry_overmerge_7cm
True,0.5858516483516483,0.5824175824175823,0.5892857142857143,0.5824175824175823,voxel_majority_entropy,sidecar_strict_association
True,0.7025126632897893,0.5806451612903225,0.8243801652892562,0.5806451612903225,framebalanced_mean_disagreement,sidecar_original_mask
True,0.6363324175824175,0.5803571428571428,0.5803571428571428,0.6923076923076923,foreign_owner_link_fraction,sidecar_strict_association
True,0.6121222527472527,0.5758928571428571,0.5758928571428571,0.6483516483516483,owner_overlap_mean,sidecar_strict_association
True,0.6301742919389979,0.5751633986928104,0.6851851851851852,0.5751633986928104,framebalanced_majority_entropy_size_residual,sidecar_original_association
True,0.6383442265795207,0.5729847494553377,0.7037037037037037,0.5729847494553377,voxel_majority_entropy,sidecar_original_association
True,0.7023809523809523,0.5714285714285714,0.8333333333333334,0.5714285714285714,mean_owner_entropy,geometry_overmerge_2cm
True,0.7023809523809523,0.5714285714285714,0.8333333333333334,0.5714285714285714,mean_owner_entropy,geometry_overmerge_5cm
True,0.7023809523809523,0.5714285714285714,0.8333333333333334,0.5714285714285714,mean_owner_entropy,geometry_overmerge_7cm
True,0.6857142857142857,0.5714285714285714,0.5714285714285714,0.8,owner_overlap_mean,sidecar_conservative_association
True,0.6604030501089324,0.5708061002178649,0.75,0.5708061002178649,mean_owner_entropy_size_residual,sidecar_original_association
True,0.575,0.5666666666666667,0.5666666666666667,0.5833333333333333,frozen_semantic_max,sidecar_conservative_mask
True,0.6535947712418301,0.5664488017429194,0.7407407407407407,0.5664488017429194,voxel_second_region,sidecar_original_association
True,0.6653050108932462,0.5620915032679739,0.7685185185185186,0.5620915032679739,voxel_second_region_size_residual,sidecar_original_association
True,0.6726190476190477,0.5619047619047619,0.5619047619047619,0.7833333333333333,mean_owner_entropy,sidecar_conservative_association
True,0.6328983516483516,0.5604395604395604,0.7053571428571428,0.5604395604395604,framebalanced_majority_entropy,sidecar_strict_association
True,0.6284340659340659,0.5604395604395604,0.6964285714285715,0.5604395604395604,framebalanced_majority_entropy_size_residual,sidecar_strict_association
True,0.636437908496732,0.5599128540305011,0.712962962962963,0.5599128540305011,voxel_second_fraction,sidecar_original_association
True,0.561125322488959,0.5582010582010583,0.5640495867768596,0.5582010582010583,voxel_mean_disagreement,sidecar_strict_mask
True,0.6845238095238095,0.5523809523809524,0.5523809523809524,0.8166666666666667,multi_owner_voxel_fraction,sidecar_conservative_association
True,0.5529205880065334,0.5521739130434783,0.5521739130434783,0.5536672629695886,framebalanced_mean_disagreement_size_residual,sidecar_conservative_unified
True,0.5560185185185185,0.5518518518518518,0.5518518518518518,0.5601851851851852,voxel_second_region_size_residual,sidecar_conservative_mask
True,0.5833333333333333,0.55,0.55,0.6166666666666666,voxel_majority_entropy,sidecar_conservative_mask
True,0.6912037037037038,0.549074074074074,0.8333333333333334,0.549074074074074,framebalanced_mean_disagreement,sidecar_original_unified
True,0.58125,0.5481481481481482,0.5481481481481482,0.6143518518518518,semantic_mean,sidecar_conservative_mask
True,0.5780275336392626,0.5478260869565217,0.5478260869565217,0.6082289803220036,voxel_mean_disagreement,sidecar_conservative_unified
True,0.5553694453408916,0.5466893039049237,0.5640495867768596,0.5466893039049237,voxel_mean_disagreement,sidecar_original_mask
True,0.5466524216524217,0.5462962962962963,0.5462962962962963,0.5470085470085471,framebalanced_mean_disagreement_size_residual,sidecar_strict_unified
True,0.5708333333333333,0.5416666666666667,0.6,0.5416666666666667,fragmentation,sidecar_conservative_association
True,0.5922619047619048,0.5416666666666666,0.6428571428571429,0.5416666666666666,frozen_semantic_max,sidecar_conservative_association
True,0.575925925925926,0.5407407407407407,0.6111111111111112,0.5407407407407407,framebalanced_mean_disagreement_size_residual,sidecar_conservative_mask
True,0.594675925925926,0.5393518518518519,0.65,0.5393518518518519,combined_mean,sidecar_conservative_mask
True,0.633070054945055,0.5384615384615384,0.7276785714285714,0.5384615384615384,combined_mean,sidecar_strict_association
True,0.5661057692307692,0.5384615384615384,0.59375,0.5384615384615384,fragmentation,sidecar_strict_association
True,0.6238095238095238,0.5333333333333333,0.7142857142857143,0.5333333333333333,semantic_mean,sidecar_conservative_association
True,0.5952380952380952,0.5333333333333333,0.6571428571428571,0.5333333333333333,combined_top2_mean,sidecar_conservative_association
True,0.5563725490196079,0.5294117647058824,0.5833333333333334,0.5294117647058824,fragmentation,sidecar_original_association
True,0.5405982905982907,0.5256410256410257,0.5555555555555556,0.5256410256410257,mean_owner_entropy_size_residual,sidecar_strict_unified
True,0.6092047930283224,0.5239651416122004,0.6944444444444445,0.5239651416122004,multi_owner_voxel_fraction,sidecar_original_association
True,0.5341911175244508,0.5229276895943562,0.5454545454545454,0.5229276895943562,framebalanced_mean_disagreement_size_residual,sidecar_strict_mask
True,0.54363986182168,0.5211640211640212,0.5661157024793388,0.5211640211640212,mean_owner_entropy_size_residual,sidecar_strict_mask
True,0.6070261437908496,0.5196078431372548,0.6944444444444444,0.5196078431372548,size_object_voxels,sidecar_original_association
True,0.5528490028490028,0.5185185185185185,0.5185185185185185,0.5871794871794872,voxel_mean_disagreement,sidecar_strict_unified
True,0.5827886710239651,0.517429193899782,0.6481481481481483,0.517429193899782,owner_overlap_mean,sidecar_original_association
