ap_minus_prevalence,auroc,average_precision,bottom20_error_rate,bottom20_errors,n,positives,prevalence,scale,scene,score,target,top20_error_rate,top20_errors,top20_n,top_bottom_ratio
0.07511941054332077,0.5802469135802469,0.46642375836940775,0.21428571428571427,3,69,27,0.391304347826087,0.05,room0,framebalanced_majority_entropy,sidecar_strict_mask,0.5,7,14,2.3333333333333335
0.08072356459859792,0.6031746031746031,0.4720279124246849,0.21428571428571427,3,69,27,0.391304347826087,0.05,room0,framebalanced_mean_disagreement,sidecar_strict_mask,0.5714285714285714,8,14,2.6666666666666665
0.03818909160131989,0.5947971781305115,0.42949343942740686,0.14285714285714285,2,69,27,0.391304347826087,0.05,room0,persistent_conflict_fraction,sidecar_strict_mask,0.42857142857142855,6,14,3.0
-0.08457841463471544,0.34038800705467376,0.30672593319137154,0.5714285714285714,8,69,27,0.391304347826087,0.05,room0,multi_owner_voxel_fraction,sidecar_strict_mask,0.21428571428571427,3,14,0.375
-0.041284180643855695,0.3919753086419753,0.3500201671822313,0.5714285714285714,8,69,27,0.391304347826087,0.05,room0,mean_owner_entropy,sidecar_strict_mask,0.2857142857142857,4,14,0.5
-0.08982572256115795,0.332010582010582,0.301478625264929,0.5,7,69,27,0.391304347826087,0.05,room0,foreign_owner_link_fraction,sidecar_strict_mask,0.0,0,14,0.0
0.09235433780777974,0.578042328042328,0.4836586856338667,0.2857142857142857,4,69,27,0.391304347826087,0.05,room0,semantic_mean,sidecar_strict_mask,0.42857142857142855,6,14,1.5
0.027142627322327362,0.5105820105820106,0.41844697514841434,0.35714285714285715,5,69,27,0.391304347826087,0.05,room0,combined_mean,sidecar_strict_mask,0.42857142857142855,6,14,1.2
0.016233525657279146,0.49647266313932986,0.4075378734833661,0.35714285714285715,5,69,27,0.391304347826087,0.05,room0,combined_top2_mean,sidecar_strict_mask,0.42857142857142855,6,14,1.2
0.10028888533539365,0.5983245149911817,0.4915932331614806,0.21428571428571427,3,69,27,0.391304347826087,0.05,room0,framebalanced_semantic_mean,sidecar_strict_mask,0.5,7,14,2.3333333333333335
-0.07853017188511652,0.34435626102292766,0.31277417594097046,0.5714285714285714,8,69,27,0.391304347826087,0.05,room0,owner_overlap_mean,sidecar_strict_mask,0.21428571428571427,3,14,0.375
0.31747576985541665,0.7932098765432098,0.7087801176815036,0.0,0,69,27,0.391304347826087,0.05,room0,size_num_detections,sidecar_strict_mask,0.7142857142857143,10,14,
0.2592492454875475,0.791005291005291,0.6505535933136345,0.07142857142857142,1,69,27,0.391304347826087,0.05,room0,size_object_voxels,sidecar_strict_mask,0.7142857142857143,10,14,10.0
0.00733769341959567,0.5229276895943562,0.39864204124568264,0.2857142857142857,4,69,27,0.391304347826087,0.05,room0,framebalanced_mean_disagreement_size_residual,sidecar_strict_mask,0.35714285714285715,5,14,1.25
0.07364612676740062,0.5873015873015872,0.4649504745934876,0.21428571428571427,3,69,27,0.391304347826087,0.05,room0,framebalanced_majority_entropy_size_residual,sidecar_strict_mask,0.5,7,14,2.3333333333333335
0.029217189934414134,0.5211640211640212,0.4205215377605011,0.35714285714285715,5,69,27,0.391304347826087,0.05,room0,mean_owner_entropy_size_residual,sidecar_strict_mask,0.42857142857142855,6,14,1.2
0.018177862176601445,0.5097001763668431,0.4094822100026884,0.35714285714285715,5,69,27,0.391304347826087,0.05,room0,voxel_second_region_size_residual,sidecar_strict_mask,0.42857142857142855,6,14,1.2
