case_id,scene_id,family,subtype,predicted_label,gt_label,scale,verdict,verdict_reason,baseline_predicted_objects,current_predicted_objects,baseline_object_precision_iou0p25,baseline_object_recall_iou0p25,baseline_object_f1_iou0p25,baseline_mean_maximum_purity,baseline_mean_maximum_coverage,baseline_semantic_accuracy_hungarian_positive,current_object_precision_iou0p25,current_object_recall_iou0p25,current_object_f1_iou0p25,current_mean_maximum_purity,current_mean_maximum_coverage,current_semantic_accuracy_hungarian_positive,delta_object_precision_iou0p25,delta_object_recall_iou0p25,delta_object_f1_iou0p25,delta_mean_maximum_purity,delta_mean_maximum_coverage,delta_semantic_accuracy_hungarian_positive
S01_office0,office0,semantic,S3_ontology_or_unknown_mismatch,speaker,vent,voxel0p05,no_effect,semantic accuracy unchanged,35,35,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
S01_office0,office0,semantic,S3_ontology_or_unknown_mismatch,speaker,vent,voxel0p10,no_effect,semantic accuracy unchanged,35,35,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
S02_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,armchair,blinds,voxel0p025,improved,semantic accuracy improved with structure unchanged,72,72,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
S02_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,armchair,blinds,voxel0p05,improved,semantic accuracy improved with structure unchanged,72,72,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
S02_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,armchair,blinds,voxel0p10,improved,semantic accuracy improved with structure unchanged,72,72,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
S03_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,closet door,cabinet,voxel0p025,improved,semantic accuracy improved with structure unchanged,72,72,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
S03_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,closet door,cabinet,voxel0p05,improved,semantic accuracy improved with structure unchanged,72,72,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
S03_room0,room0,semantic,S2_geometry_or_identity_confounded_label_mismatch,closet door,cabinet,voxel0p10,improved,semantic accuracy improved with structure unchanged,72,72,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04166666666666666
P01_office0,office0,spurious,unsupported_prediction_all_three_scales,paper bag,,voxel0p025,improved,F1 improved without precision loss,35,34,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.058823529411764705,0.038461538461538464,0.046511627906976744,0.5728011430138187,0.5156931803477698,0.14285714285714285,0.001680672268907564,0.0,0.0005346164127238706,0.01636574694325199,0.0,0.0
P01_office0,office0,spurious,unsupported_prediction_all_three_scales,paper bag,,voxel0p05,improved,F1 improved without precision loss,35,34,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.08823529411764706,0.057692307692307696,0.06976744186046512,0.6091616360592826,0.5699704440443539,0.2857142857142857,0.0025210084033613495,0.0,0.0008019246190858059,0.017404618173122444,0.0,0.0
P01_office0,office0,spurious,unsupported_prediction_all_three_scales,paper bag,,voxel0p10,improved,F1 improved without precision loss,35,34,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.5871810052084496,0.2857142857142857,0.11764705882352941,0.07692307692307693,0.09302325581395349,0.6419221527795304,0.5871810052084496,0.2857142857142857,0.003361344537815128,0.0,0.0010692328254477412,0.018340632936557966,0.0,0.0
P02_room0,room0,spurious,unsupported_prediction_all_three_scales,lamp,,voxel0p025,improved,F1 improved without precision loss,72,71,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.3909500590459881,0.125,0.11267605633802817,0.08791208791208792,0.09876543209876543,0.6653690783542837,0.3909500590459881,0.125,0.0015649452269170666,0.0,0.0006059228963114366,0.009241237199365093,0.0,0.0
P02_room0,room0,spurious,unsupported_prediction_all_three_scales,lamp,,voxel0p05,improved,F1 improved without precision loss,72,71,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.4299832397143611,0.125,0.1267605633802817,0.0989010989010989,0.1111111111111111,0.7282132700369546,0.4299832397143611,0.125,0.0017605633802816878,0.0,0.0006816632583503679,0.010114073194957718,0.0,0.0
P02_room0,room0,spurious,unsupported_prediction_all_three_scales,lamp,,voxel0p10,improved,F1 improved without precision loss,72,71,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.452079604790914,0.125,0.18309859154929578,0.14285714285714285,0.16049382716049382,0.7643391119262506,0.452079604790914,0.125,0.002543035993740228,0.0,0.0009846247065060931,0.010615820998975734,0.0,0.0
P03_office0,office0,spurious,unsupported_prediction_all_three_scales,potted plant,,voxel0p025,improved,F1 improved without precision loss,35,34,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.5156931803477698,0.14285714285714285,0.058823529411764705,0.038461538461538464,0.046511627906976744,0.5728011430138187,0.5156931803477698,0.14285714285714285,0.001680672268907564,0.0,0.0005346164127238706,0.01636574694325199,0.0,0.0
P03_office0,office0,spurious,unsupported_prediction_all_three_scales,potted plant,,voxel0p05,improved,F1 improved without precision loss,35,34,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.5699704440443539,0.2857142857142857,0.08823529411764706,0.057692307692307696,0.06976744186046512,0.6091616360592826,0.5699704440443539,0.2857142857142857,0.0025210084033613495,0.0,0.0008019246190858059,0.017404618173122444,0.0,0.0
