accepted_3d,elapsed_seconds,filtered_2d,processed_frame,raw_detections,raw_frame
16,0.5913197174668312,16,59,29,295
17,0.6414433233439922,18,60,51,300
21,0.7446231264621019,21,61,44,305
24,0.7291040569543839,24,62,47,310
20,0.6803258070722222,20,63,39,315
22,0.7128804577514529,22,64,40,320
17,0.6201322758570313,17,65,37,325
18,0.6550499200820923,18,66,43,330
16,0.6211103247478604,16,67,45,335
18,0.6474485173821449,18,68,41,340
22,0.6361085940152407,22,69,40,345
17,0.5816556364297867,17,70,39,350
23,0.675762303173542,23,71,42,355
22,0.6988669177517295,22,72,44,360
20,0.7378570530563593,20,73,40,365
16,0.8344669425860047,16,74,35,370
21,0.8280412554740906,21,75,39,375
17,0.7799247577786446,17,76,38,380
21,0.7429305054247379,21,77,36,385
20,0.619326707907021,20,78,38,390
19,0.646287938579917,19,79,40,395
21,0.6397204026579857,21,80,30,400
19,0.5966814747080207,19,81,32,405
18,0.597298183478415,18,82,35,410
16,0.571040759794414,16,83,28,415
20,0.5247842334210873,20,84,29,420
15,0.5543080437928438,15,85,27,425
17,0.5799004640430212,17,86,29,430
16,0.49647718388587236,16,87,29,435
17,0.5408002277836204,17,88,28,440
15,0.4589199125766754,15,89,26,445
13,0.47091245371848345,13,90,32,450
14,0.4374456303194165,14,91,29,455
12,0.4848696291446686,12,92,25,460
17,0.46345369052141905,17,93,28,465
21,0.6466278620064259,21,94,30,470
19,0.5775198386982083,19,95,28,475
13,0.44052161555737257,13,96,32,480
15,0.46814291179180145,15,97,29,485
17,0.4929297249764204,17,98,27,490
17,0.5916196890175343,17,99,31,495
17,0.5910145174711943,17,100,33,500
16,0.5975437210872769,16,101,30,505
17,0.602704563178122,17,102,32,510
18,0.6237799236550927,19,103,31,515
16,0.6215654471889138,16,104,26,520
16,0.5753478361293674,16,105,22,525
14,0.5926111871376634,14,106,22,530
16,0.6618289714679122,16,107,22,535
16,0.5899026980623603,16,108,22,540
15,0.5578763131052256,15,109,21,545
14,0.5685089528560638,14,110,22,550
13,0.5271837757900357,13,111,19,555
15,0.551999144256115,16,112,22,560
16,0.5985298752784729,16,113,24,565
14,0.5685291532427073,15,114,19,570
17,0.6067133005708456,17,115,21,575
18,0.6312642330303788,18,116,22,580
17,0.662894724868238,17,117,21,585
16,0.6204711329191923,16,118,22,590
13,0.5795378275215626,13,119,19,595
18,0.6577291963621974,18,120,21,600
16,0.6672190381214023,16,121,24,605
19,0.646173782646656,19,122,30,610
19,0.7337993215769529,19,123,33,615
18,0.8327105883508921,18,124,30,620
16,0.6858509406447411,16,125,25,625
19,0.7248685844242573,19,126,30,630
16,0.6139946673065424,16,127,28,635
16,0.6429850002750754,17,128,29,640
18,0.6976782027631998,18,129,26,645
17,0.7173629477620125,17,130,29,650
17,0.980808675289154,17,131,24,655
18,0.9144589547067881,18,132,26,660
19,1.0601139552891254,19,133,31,665
23,0.9723783014342189,23,134,32,670
21,0.7847726456820965,21,135,29,675
17,0.6870879139751196,17,136,29,680
18,0.6534365192055702,18,137,28,685
19,0.7336047133430839,19,138,28,690
20,0.8345167050138116,20,139,31,695
19,0.9929424552246928,19,140,28,700
18,0.9575687563046813,18,141,28,705
18,0.8081272039562464,18,142,28,710
18,0.6984963603317738,18,143,26,715
15,0.7783273886889219,15,144,25,720
18,1.1253085900098085,18,145,32,725
22,1.1999766184017062,22,146,35,730
21,0.9511209009215236,21,147,35,735
22,0.9650937216356397,22,148,36,740
21,0.9653870221227407,22,149,36,745
21,0.9252721816301346,21,150,32,750
24,0.9756433889269829,24,151,30,755
23,1.0134016601368785,23,152,35,760
20,0.9040997233241796,20,153,30,765
22,0.9425970055162907,22,154,32,770
21,0.9475922267884016,21,155,34,775
24,1.1639868840575218,25,156,35,780
22,1.3067232416942716,22,157,36,785
21,1.161244540475309,21,158,33,790
22,1.2917957315221429,22,159,38,795
26,1.3577318638563156,26,160,33,800
24,1.1260768929496408,24,161,32,805
23,0.9344341736286879,23,162,35,810
21,0.889872819185257,21,163,30,815
22,0.9103871528059244,22,164,33,820
20,0.8592810360714793,20,165,31,825
21,0.9505885159596801,21,166,32,830
